date,time,open,high,low,close,volume
2017.08.10,00:00,1.17592,1.17852,1.17042,1.17711,105599
2017.08.11,00:00,1.17721,1.18473,1.17486,1.18212,100548
2017.08.14,00:00,1.18197,1.18383,1.17697,1.17777,81966
2017.08.15,00:00,1.17787,1.17926,1.16872,1.17339,100157
2017.08.16,00:00,1.17347,1.17785,1.16811,1.17668,115791
2017.08.17,00:00,1.17670,1.17898,1.16621,1.17225,134787
2017.08.18,00:00,1.17229,1.17746,1.17084,1.17588,127675
2017.08.21,00:00,1.17556,1.18281,1.17311,1.18144,85221
2017.08.22,00:00,1.18133,1.18243,1.17451,1.17613,91505
2017.08.23,00:00,1.17613,1.18232,1.17402,1.18069,92582
2017.08.24,00:00,1.18068,1.18178,1.17841,1.17986,95177
2017.08.25,00:00,1.17991,1.19415,1.17733,1.19217,115968
2017.08.28,00:00,1.19397,1.19837,1.19170,1.19785,89625
2017.08.29,00:00,1.19786,1.20702,1.19466,1.19721,158405
2017.08.30,00:00,1.19722,1.19842,1.18807,1.18836,125567
2017.08.31,00:00,1.18837,1.19126,1.18230,1.19093,130941
2017.09.01,00:00,1.19095,1.19797,1.18492,1.18612,129359
2017.09.04,00:00,1.18835,1.19220,1.18735,1.18916,90821
2017.09.05,00:00,1.18911,1.19409,1.18683,1.19114,131279
2017.09.06,00:00,1.19114,1.19502,1.19029,1.19169,130794
2017.09.07,00:00,1.19169,1.20595,1.19139,1.20209,147474
2017.09.08,00:00,1.20207,1.20924,1.20147,1.20320,149380
2017.09.11,00:00,1.20154,1.20292,1.19475,1.19513,108660
2017.09.12,00:00,1.19514,1.19779,1.19260,1.19663,113837
2017.09.13,00:00,1.19660,1.19945,1.18727,1.18849,113518
2017.09.14,00:00,1.18847,1.19221,1.18375,1.19179,126168
2017.09.15,00:00,1.19180,1.19870,1.19006,1.19455,130571
2017.09.18,00:00,1.19207,1.19691,1.19147,1.19486,104665
2017.09.19,00:00,1.19495,1.20063,1.19489,1.19939,120733
2017.09.20,00:00,1.19939,1.20339,1.18610,1.18903,135561
2017.09.21,00:00,1.18900,1.19535,1.18654,1.19410,128142
2017.09.22,00:00,1.19411,1.20043,1.19361,1.19463,115932
2017.09.25,00:00,1.18985,1.19364,1.18316,1.18480,119406
2017.09.26,00:00,1.18467,1.18613,1.17573,1.17917,127077
2017.09.27,00:00,1.17923,1.17950,1.17169,1.17442,126396
2017.09.28,00:00,1.17435,1.18037,1.17210,1.17854,124349
2017.09.29,00:00,1.17850,1.18322,1.17722,1.18133,110115
2017.10.02,00:00,1.17881,1.18148,1.17298,1.17319,106407
2017.10.03,00:00,1.17310,1.17733,1.16961,1.17438,101638
2017.10.04,00:00,1.17420,1.17874,1.17349,1.17583,101907
2017.10.05,00:00,1.17578,1.17786,1.16988,1.17104,96519
2017.10.06,00:00,1.17105,1.17385,1.16690,1.17321,114650
2017.10.09,00:00,1.17273,1.17558,1.17192,1.17397,57416
2017.10.10,00:00,1.17386,1.18251,1.17386,1.18073,104915
2017.10.11,00:00,1.18070,1.18687,1.17949,1.18573,107963
2017.10.12,00:00,1.18554,1.18796,1.18266,1.18292,98494
2017.10.13,00:00,1.18287,1.18748,1.18050,1.18201,105853
2017.10.16,00:00,1.18103,1.18193,1.17802,1.17951,85375
2017.10.17,00:00,1.17955,1.17995,1.17358,1.17655,91571
2017.10.18,00:00,1.17650,1.18051,1.17298,1.17871,94020
2017.10.19,00:00,1.17862,1.18577,1.17675,1.18494,118844
2017.10.20,00:00,1.18503,1.18577,1.17623,1.17791,116608
2017.10.23,00:00,1.17643,1.17771,1.17246,1.17489,89335
2017.10.24,00:00,1.17479,1.17927,1.17426,1.17614,95224
2017.10.25,00:00,1.17593,1.18175,1.17528,1.18125,122397
2017.10.26,00:00,1.18125,1.18366,1.16402,1.16497,126541
2017.10.27,00:00,1.16498,1.16571,1.15739,1.16082,128059
2017.10.30,00:00,1.16057,1.16577,1.15936,1.16504,85399
2017.10.31,00:00,1.16495,1.16612,1.16248,1.16458,93316
2017.11.01,00:00,1.16454,1.16573,1.16061,1.16171,103152
2017.11.02,00:00,1.16174,1.16871,1.16128,1.16580,120526
2017.11.03,00:00,1.16576,1.16902,1.15989,1.16080,92299
2017.11.06,00:00,1.16138,1.16238,1.15801,1.16071,89409
2017.11.07,00:00,1.16076,1.16153,1.15538,1.15852,92546
2017.11.08,00:00,1.15848,1.16109,1.15788,1.15940,82017
2017.11.09,00:00,1.15935,1.16547,1.15854,1.16414,107247
2017.11.10,00:00,1.16406,1.16777,1.16226,1.16636,84842
2017.11.13,00:00,1.16560,1.16750,1.16371,1.16665,68149
2017.11.14,00:00,1.16662,1.18047,1.16612,1.17972,90297
2017.11.15,00:00,1.17965,1.18605,1.17844,1.17898,113332
2017.11.16,00:00,1.17894,1.18007,1.17563,1.17684,93482
2017.11.17,00:00,1.17684,1.18216,1.17650,1.17883,99749
2017.11.20,00:00,1.17844,1.18084,1.17221,1.17321,103379
2017.11.21,00:00,1.17321,1.17576,1.17127,1.17376,82682
2017.11.22,00:00,1.17372,1.18268,1.17319,1.18222,86970
2017.11.23,00:00,1.18212,1.18557,1.18130,1.18471,60780
2017.11.24,00:00,1.18473,1.19442,1.18366,1.19325,79313
2017.11.27,00:00,1.19233,1.19609,1.18953,1.18978,90140
2017.11.28,00:00,1.18968,1.19197,1.18267,1.18358,112822
2017.11.29,00:00,1.18363,1.18825,1.18166,1.18466,105150
2017.11.30,00:00,1.18456,1.19313,1.18087,1.19033,111161
2017.12.01,00:00,1.19025,1.19400,1.18506,1.18980,144685
2017.12.04,00:00,1.18600,1.18784,1.18289,1.18641,99711
2017.12.05,00:00,1.18640,1.18764,1.18005,1.18248,95782
2017.12.06,00:00,1.18247,1.18479,1.17804,1.17953,91808
2017.12.07,00:00,1.17946,1.18144,1.17716,1.17723,81085
2017.12.08,00:00,1.17716,1.17764,1.17300,1.17728,88621
2017.12.11,00:00,1.17639,1.18116,1.17630,1.17683,69399
2017.12.12,00:00,1.17676,1.17924,1.17174,1.17415,72005
2017.12.13,00:00,1.17407,1.18313,1.17292,1.18257,88247
2017.12.14,00:00,1.18256,1.18623,1.17705,1.17775,105661
2017.12.15,00:00,1.17778,1.18122,1.17492,1.17501,91469
2017.12.18,00:00,1.17420,1.18341,1.17373,1.17815,81205
2017.12.19,00:00,1.17808,1.18485,1.17761,1.18379,90271
2017.12.20,00:00,1.18379,1.19015,1.18287,1.18710,87075
2017.12.21,00:00,1.18695,1.18893,1.18490,1.18738,80019
2017.12.22,00:00,1.18721,1.18752,1.18169,1.18616,83526
2017.12.26,00:00,1.18642,1.18784,1.18463,1.18577,37272
2017.12.27,00:00,1.18579,1.19100,1.18547,1.18864,71130
2017.12.28,00:00,1.18859,1.19588,1.18859,1.19420,68574
